iter	Passed	Remaining
0	140	140381
1	141	70529
2	141	47175
3	142	35482
4	143	28484
5	143	23807
6	144	20461
7	144	17945
8	145	15989
9	145	14435
10	146	13168
11	147	12105
12	147	11208
13	148	10444
14	148	9782
15	149	9201
16	150	8688
17	150	8230
18	151	7822
19	152	7454
20	152	7116
21	153	6812
22	153	6535
23	154	6281
24	155	6045
25	155	5827
26	156	5625
27	156	5438
28	157	5263
29	157	5099
30	158	4946
31	158	4803
32	159	4667
33	159	4540
34	160	4421
35	160	4308
36	161	4201
37	162	4104
38	162	4016
39	163	3928
40	164	3850
41	165	3774
42	166	3696
43	166	3622
44	167	3554
45	168	3485
46	168	3420
47	169	3357
48	169	3298
49	170	3241
50	171	3188
51	172	3137
52	172	3087
53	173	3040
54	174	2994
55	175	2950
56	175	2907
57	176	2865
58	177	2826
59	177	2786
60	178	2748
61	179	2715
62	180	2681
63	181	2647
64	181	2613
65	182	2580
66	182	2547
67	183	2515
68	184	2485
69	184	2454
70	185	2425
71	185	2396
72	186	2368
73	187	2340
74	187	2313
75	188	2287
76	188	2263
77	189	2239
78	190	2216
79	190	2194
80	191	2171
81	192	2150
82	192	2126
83	193	2105
84	193	2086
85	194	2066
86	195	2048
87	195	2030
88	196	2014
89	197	1997
90	198	1979
91	198	1962
92	199	1945
93	200	1929
94	200	1913
95	201	1897
96	202	1881
97	202	1866
98	203	1852
99	204	1837
100	204	1823
101	205	1809
102	206	1795
103	206	1781
104	207	1767
105	207	1754
106	208	1741
107	209	1728
108	209	1715
109	210	1703
110	211	1691
111	211	1680
112	212	1669
113	213	1657
114	213	1646
115	214	1635
116	215	1623
117	215	1613
118	216	1602
119	217	1592
120	217	1581
121	218	1570
122	218	1560
123	219	1550
124	220	1540
125	220	1531
126	221	1521
127	221	1511
128	222	1502
129	223	1493
130	223	1484
131	224	1476
132	225	1467
133	225	1458
134	226	1450
135	227	1442
136	227	1434
137	228	1427
138	229	1420
139	229	1412
140	230	1405
141	231	1396
142	231	1390
143	232	1382
144	233	1375
145	233	1367
146	234	1360
147	235	1353
148	235	1346
149	236	1339
150	237	1332
151	237	1325
152	238	1318
153	238	1311
154	239	1305
155	240	1299
156	240	1292
157	241	1286
158	242	1280
159	242	1274
160	243	1267
161	243	1262
162	244	1256
163	245	1251
164	246	1245
165	246	1239
166	247	1233
167	247	1227
168	248	1222
169	249	1216
170	249	1211
171	250	1206
172	251	1200
173	251	1195
174	252	1189
175	253	1184
176	253	1179
177	254	1174
178	254	1169
179	255	1164
180	256	1158
181	256	1154
182	257	1149
183	258	1144
184	258	1139
185	259	1134
186	260	1130
187	260	1126
188	261	1121
189	262	1117
190	262	1113
191	263	1109
192	264	1104
193	264	1100
194	265	1095
195	265	1090
196	266	1086
197	267	1082
198	267	1077
199	268	1073
200	268	1068
201	269	1064
202	270	1060
203	270	1056
204	271	1052
205	272	1048
206	272	1045
207	273	1041
208	274	1037
209	274	1033
210	275	1029
211	275	1025
212	276	1021
213	277	1017
214	277	1013
215	278	1010
216	279	1006
217	279	1003
218	280	999
219	280	995
220	281	992
221	282	988
222	282	984
223	283	981
224	283	977
225	284	974
226	285	970
227	285	967
228	286	963
229	287	960
230	287	957
231	288	954
232	289	951
233	289	948
234	290	945
235	291	942
236	291	938
237	292	935
238	292	932
239	293	928
240	293	925
241	294	922
242	295	919
243	295	916
244	296	913
245	296	910
246	297	907
247	298	904
248	298	901
249	299	897
250	299	894
251	300	891
252	301	889
253	301	886
254	302	884
255	303	881
256	304	879
257	304	876
258	305	873
259	305	870
260	306	867
261	307	864
262	307	862
263	308	859
264	308	856
265	309	853
266	310	851
267	310	848
268	311	845
269	311	843
270	312	840
271	313	837
272	313	835
273	314	832
274	314	830
275	315	827
276	316	825
277	316	822
278	317	820
279	318	818
280	319	816
281	319	813
282	320	811
283	320	808
284	321	806
285	322	803
286	322	801
287	323	798
288	323	796
289	324	794
290	324	791
291	325	789
292	326	786
293	326	784
294	327	782
295	327	779
296	328	777
297	328	775
298	329	772
299	330	770
300	330	768
301	331	766
302	332	763
303	332	762
304	333	760
305	334	758
306	334	756
307	335	754
308	336	751
309	336	749
310	337	747
311	338	745
312	338	743
313	339	741
314	339	739
315	340	737
316	341	735
317	341	733
318	342	731
319	343	729
320	343	727
321	344	724
322	344	722
323	345	720
324	346	718
325	346	716
326	347	715
327	348	713
328	348	711
329	349	709
330	350	707
331	350	705
332	351	703
333	351	701
334	352	699
335	353	697
336	353	695
337	354	693
338	354	692
339	355	690
340	356	688
341	356	686
342	357	684
343	357	682
344	358	680
345	359	678
346	359	677
347	360	675
348	361	673
349	361	671
350	362	670
351	363	668
352	363	666
353	364	664
354	364	663
355	365	661
356	366	659
357	366	657
358	367	656
359	368	654
360	368	652
361	369	650
362	369	649
363	370	647
364	371	645
365	371	644
366	372	642
